filename,T,H,muX,muC,epsilon_X,epsilon_C,sigma_X,sigma_C,dx,vacuum,initial_guess
0248,200,50,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0249,200,50,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0250,200,50,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0251,200,50,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0252,200,50,-500,-750,1000,1000,1.0,1.0,0.02,10,0.01
0253,200,75,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0254,200,75,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0255,200,75,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0256,200,75,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0257,200,75,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0258,200,75,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0259,200,75,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0260,200,75,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0261,200,75,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0262,200,75,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0263,200,75,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0264,200,75,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0265,200,75,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0266,200,75,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0267,200,75,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0268,200,75,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0269,200,75,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0270,200,75,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0271,200,75,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0272,200,75,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0273,200,75,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0274,200,75,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0275,200,75,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
